Batch No. 	EA증류/분석			IKF-916 반응 분석					RINSE					건조시간				포장		제품 분석				
	CCIM	IKF-916	ISO-916	반응시간	내부온도	CCIM	IKF-916	ISO-916	CCIM-AM	CCIM	IKF-916	ISO-916	3C	건조시간	내부온도	수분	MeOH	생산량	수율	CCIM-AM	CCIM	IKF-916	ISO-916	3C
IKF24041				5:40	75.87	3.4	91.2	5.3																
IKF24041				6:10	75.741	4.1	91.2	4.7																
IKF24041																								
IKF24041																								
IKF24042	6.1	77.2	16.8	5:00	76.58	2.7	89.9	7.4	0.13	0.53	98.31	0	0.94	0-62:0-30	21.649	0.1	0.23	1800	91.429	0.01	0.1	98.83	0	0.97
IKF24042				5:30	76.231	3.3	90.6	6.1																
IKF24042				6:20	75.677	3.6	91.7	4.6																
IKF24042																								
IKF24042																								
IKF24043	6.6	77.3	16.1	5:00	76.428	2.9	90	7	0.16	0.65	98.12	0	0.94	10:00	35.782	0.03	0.16	1700	86.343	0.01	0.07	98.74	0.01	1.02
IKF24043				5:30	76.258	3.2	91.3	5.4																
IKF24043				6:20		3.6	91.8	4.6																
IKF24043																								
IKF24043																								
IKF24044	6.9	75.1	18	5:00	77.253	3.8	89.7	6.5	0.41	0.78	97.69	0	0.9	22:30	45.296	0.03	0.22	1700	86.342	0.02	0.1	98.89	0	0.88
IKF24044				6:00	75.902	4	91.5	4.5						23:30	46.031	0.02	0.2							
IKF24044																								
IKF24044																								
IKF24044																								
IKF24044H1																		150	86.342	0.02	0.11	98.92	0	0.89
IKF24044H1																								
IKF24044H1																								
IKF24044H1																								
IKF24044H1																								
IKF24045	11.2	72.3	16.4	1:30	76.759	11.2	72.3	16.4	0.28	0.63	98.18	0	0.8	9:00		0.04	0.1	1470	74.661	0.01	0.09	99	0	0.81
IKF24045				5:00	75.942	6.2	86.7	7.1																
IKF24045				6:30	76.536	6.4	89.1	4.4																
IKF24045				7:10	76.109	6.6	89.4	4																
IKF24045																								
IKF24046	8.2	73.4	18.3	5:00	76.633	3.6	88.6	7.8	0.21	0.54	98.31	0.94	0	9:00	48.693	0.06	0.12	1667	84.666	0.01	0.09	98.89	0	0.92
IKF24046				6:00	76.168	4.3	90.5	5.3																
IKF24046				6:40	75.897	4.4	90.8	4.8																
IKF24046																								
IKF24046																								
IKF24047	8.6	73.5	17.8	1:30	76.842	8.6	73.5	17.8	0.21	0.44	98.37	0.98	0	9:00	45.144	0.1	0.13	1659	84.263	0.02	0.09	98.82	0	0.97
IKF24047				5:00	76.015	3.5	87.9	8.6																
IKF24047				6:10	75.811	3.2	91	5.8																
IKF24047				7:00	75.595	3.6	91.5	4.9																
IKF24047																								
IKF24048	7.5	72.5	20	1:30	77.131	7.5	72.5	20	0.28	0.88	97.67	0.97	0	9:00	47.136	0.15	0.1	1681	85.38	0.01	0.08	98.86	0	0.95
IKF24048				5:00	75.832	3.5	88.8	7.6						10:20	44.729	0.07								
IKF24048				6:00	76.167	4.3	90.4	5.3																
IKF24048				7:00	63.44	3.9	91.8	4.4																
IKF24048																								
IKF24049	7.7	74.3	18	1:30	77.441	7.7	74.3	18	0.24	0.58	98.18	0.89	0	9:00	48.054	0.09	0.14	1773	90.052	0.01	0.14	98.91	0	0.86
IKF24049				5:00	76.126	5.1	87.2	7.7																
IKF24049				6:30	75.449	5.7	89.7	4.6																
IKF24049																								
IKF24049																								
IKF24050	4.6	80.4	15	1:30	76.763	4.6	80.4	15	0.33	1.08	97.41	0	0.99	9:00	45.387	0.1	0.1	1700	86.34	0.02	0.13	98.76	0	1
IKF24050				5:00	76.012	2.2	86.6	11.2																
IKF24050				6:10	74.898	2.6	89.9	7.5																
IKF24050				7:10	74.894	3.2	90.6	6.2																
IKF24050				8:30		3.2	92.7	4.1																
IKF24051	7.2	75.8	17	1:30	76.445	7.2	75.8	17	0.33	0.83	97.77	0	0.93	9:00	45.067	0.07	0.12	1700	86.342	0.01	0.08	98.92	0	0.98
IKF24051				5:00	76.596	3.3	88.7	8.1																
IKF24051				6:30	75.912	3.8	91.8	4.4																
IKF24051																								
IKF24051																								
IKF24052	9.3	72	18.7	1:30	77.087	9.3	72	18.7	0.22	0.64	98.06	0	0.97	9:00	46.408	0.07	0.14	1700	86.344	0.01	0.08	98.92	0	0.99
IKF24052				5:00	75.539	3.2	88.6	8.2																
IKF24052				6:30	75.431	3.9	91	5																
IKF24052				7:20	74.849	4.2	91.3	4.4																
IKF24052																								
IKF24053	10.4	67.9	21.7	1:30	76.24	10.4	67.9	21.7	0.31	0.68	97.94	0	0.93	9:00	42.922	0.05	0.09	1700	86.344	0.01	0.07	98.85	0	0.99
IKF24053				5:00	76.322	3.2	88.3	8.6																
IKF24053				6:30	75.456	4	91.2	4.8																
IKF24053				7:20	74.921	4.1	91.8	4.1																
IKF24053																								
IKF24054	6.9	76	17.1	49:30:00	75.728	6.9	76	17.1	0.3	0.71	97.82	0	1.01	9:00	47.408	0.02	0.15	1800	91.48	0.01	0.07	98.81	0	1.02
IKF24054				53:00:00	76.315	3	87.4	9.6																
IKF24054				54:30:00	74.851	3.6	91.4	5																
IKF24054				55:30:00	63.517	3.8	92	4.2																
IKF24054																								
