Year,Month,Code,Name,Unit,Finished,Substance_1,Substance_2,Complex,QC,Supporting
21,4,302882,SP Sephadex C50 자가,g,,,,,,
21,4,303090,테크세제,EA,,,,,,
21,4,302841,72B/A4 Clean paper,EA,1000,,,,,
21,4,200522,화이버 드럼,EA,,,,32,,
21,4,106602,보위딕 테스트 팩(Terragene),EA,80,9,3,,,
21,4,302255,필터 (PFY2UY300J),EA,,,,,,
21,4,302571,Sartofluor Filter(5185307T8),EA,1,,,,,
21,4,302151,Sartoclean CA 20',EA,,,,,,
21,4,302257,필터 (PFY1J012J),EA,,,,,,
21,4,302914,Sterile Filter(KA3EKVP10.2um),EA,,,,,,
21,4,300953,킴텍스(50×70×1),EA,,,,,,
21,4,302321,훈증액 MINNACARE COLD STERILANT,BT,,,,,,
21,4,302254,필터 (MBS1002RJH2),EA,,,,,,
21,4,103638,밀리팩200(MPGL2GCL3),EA,1,,,,,
21,4,102141,SARTOBRAN P 10' Filter,EA,,,,,,
21,4,100351,Filter SARTOPURE PP2,EA,,,,,,
21,4,303031,DECON-SPORE 200 Plus(0.4%)472mL 자가,EA,16,16,,,,4
21,4,303034,Decon-cycle (Disinfectant)472mL 자가,EA,29,15,4,,,
21,4,303038,DECON-SPORE200Plus(0.4% )Gallon siz자가,EA,40,,,,,
21,4,303041,Decon-cycle(Disinfectant)Gallonsize자가,EA,24,4,4,,,
21,4,303036,70% IPA 472mL 자가,EA,132,32,29,,,12
21,4,303060,70% IPA Gallon size 자가,EA,8,,,,,
21,4,303033,5% Decon-spore (Sporicide)472mL 자가,EA,12,1,,,,
21,4,303039,5% Decon-spore(Sporicide)Gallon size자가,EA,2,1,,,,
21,4,303035,Hypo-chlor (Sporicide)472mL 자가,EA,,,,,,
21,4,303040,Hypo-chlor (Sporicide) Gallon size 자가,EA,,,,,,
21,4,303080,70% IPA Dispenser용(자동분무기용),EA,,,,,,
21,4,102990,Filter Unit 1L 자가(Bottle top),EA,61,,10,,,
21,4,100136,트립신에데트산나트륨,mL ,,,100,,,
21,4,107225,멸균백 580*900mm,EA,,,,,,
21,4,106156,Opticap XL2 Capsule Filter(KGW6A02FF3),EA,,,,,,
21,3,100130,디메티콘 유제 35% 자가,g,,,,,,
21,3,105521,TSB(Non animal origin) 자가,BT,,,,,,
21,3,105944,20L Glass bottle(screw),EA,,,,,,
21,3,105996,멸균백1200*1200mm,EA,,,,,,
21,3,105998,멸균백400*500mm,EA,100,300,100,,,
21,3,106159,Durapore Opticap XL4 (KVGLA04TT3),EA,,,,,,
21,3,300006,퐁퐁,EA,,,5,,,
