Date,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2022-07-19,pm 12:12:20,118.54,118.76,118.53,118.43,118.96,118.57,118.45,118.68,118.43,118.6,118.39,118.7,118.45,118.39,118.58,118.65,118.57
2022-07-19,pm 12:12:30,119.3,119.5,119.29,119.19,119.68,119.33,119.22,119.43,119.18,119.35,119.15,119.44,119.2,119.16,119.33,119.39,119.32
2022-07-19,pm 12:12:40,119.97,120.15,119.96,119.88,120.32,120,119.91,120.09,119.87,120.02,119.84,120.1,119.9,119.84,120,120.06,120
2022-07-19,pm 12:12:50,120.56,120.72,120.55,120.47,120.87,120.59,120.51,120.67,120.47,120.6,120.44,120.67,120.49,120.44,120.58,120.63,120.58
2022-07-19,pm 12:13:00,121.08,121.22,121.07,121,121.34,121.1,121.03,121.17,120.99,121.11,120.97,121.17,121.01,120.97,121.09,121.14,121.1
2022-07-19,pm 12:13:10,121.51,121.64,121.51,121.45,121.75,121.54,121.48,121.6,121.44,121.54,121.42,121.59,121.45,121.42,121.53,121.58,121.54
2022-07-19,pm 12:13:20,121.89,122,121.89,121.83,122.09,121.91,121.86,121.97,121.82,121.91,121.8,121.95,121.83,121.81,121.9,121.94,121.91
2022-07-19,pm 12:13:30,122.19,122.28,122.19,122.14,122.35,122.21,122.17,122.25,122.14,122.2,122.11,122.24,122.15,122.12,122.2,122.23,122.21
2022-07-19,pm 12:13:40,122.4,122.48,122.41,122.37,122.53,122.42,122.39,122.46,122.36,122.41,122.34,122.43,122.36,122.34,122.4,122.44,122.42
2022-07-19,pm 12:13:50,122.51,122.55,122.52,122.49,122.57,122.54,122.52,122.55,122.49,122.5,122.46,122.51,122.48,122.46,122.5,122.53,122.54
2022-07-19,pm 12:14:00,122.53,122.56,122.54,122.51,122.57,122.55,122.27,122.56,122.51,122.52,122.49,122.52,122.5,122.5,122.52,122.55,122.55
2022-07-19,pm 12:14:10,122.53,122.55,122.54,122.53,122.54,122.55,122.46,122.55,122.52,122.51,122.5,122.51,122.51,122.5,122.52,122.55,122.55
2022-07-19,pm 12:14:20,122.48,122.5,122.48,122.47,122.52,122.47,122.25,122.49,122.46,122.47,122.45,122.47,122.45,122.47,122.46,122.51,122.48
2022-07-19,pm 12:14:30,122.51,122.53,122.51,122.5,122.54,122.53,122.08,122.53,122.5,122.5,122.38,122.51,122.5,122.5,122.5,122.54,122.53
2022-07-19,pm 12:14:40,122.51,122.52,122.51,122.51,122.49,122.53,122.05,122.53,122.5,122.48,122.48,122.48,122.5,122.49,122.5,122.52,122.54
2022-07-19,pm 12:14:50,122.4,122.39,122.4,122.41,122.36,122.41,122.29,122.41,122.4,122.37,122.38,122.36,122.39,122.4,122.38,122.41,122.42
2022-07-19,pm 12:15:00,122.37,122.38,122.38,122.38,122.34,122.4,122.35,122.4,122.37,122.35,122.36,122.35,122.38,122.37,122.37,122.39,122.41
2022-07-19,pm 12:15:10,122.33,122.34,122.33,122.33,122.34,122.34,122.24,122.34,122.32,122.32,122.32,122.32,122.32,122.34,122.32,122.36,122.34
2022-07-19,pm 12:15:20,122.34,122.35,122.34,122.33,122.36,122.34,122.12,122.36,122.32,122.33,122.32,122.33,122.33,122.34,122.33,122.37,122.35
2022-07-19,pm 12:15:30,122.27,122.27,122.27,122.28,122.27,122.27,122.21,122.27,122.26,122.26,122.26,122.25,122.25,122.28,122.25,122.3,122.28
2022-07-19,pm 12:15:40,122.33,122.35,122.33,122.33,122.36,122.33,122.25,122.36,122.31,122.33,122.31,122.33,122.32,122.34,122.33,122.36,122.34
2022-07-19,pm 12:15:50,122.32,122.34,122.33,122.33,122.32,122.35,122.41,122.35,122.32,122.32,122.31,122.31,122.33,122.33,122.32,122.35,122.35
2022-07-19,pm 12:16:00,122.31,122.32,122.32,122.32,122.33,122.32,122.79,122.33,122.3,122.31,122.31,122.31,122.31,122.33,122.3,122.34,122.33
2022-07-19,pm 12:16:10,122.34,122.35,122.33,122.33,122.38,122.33,122.28,122.36,122.32,122.33,122.32,122.34,122.32,122.35,122.33,122.37,122.34
2022-07-19,pm 12:16:20,122.34,122.35,122.34,122.34,122.38,122.34,122.27,122.36,122.33,122.34,122.33,122.34,122.33,122.35,122.33,122.37,122.35
2022-07-19,pm 12:16:30,122.36,122.38,122.37,122.37,122.39,122.37,122.39,122.39,122.36,122.36,122.36,122.37,122.36,122.38,122.36,122.39,122.38
2022-07-19,pm 12:16:40,122.38,122.4,122.38,122.38,122.42,122.38,122.08,122.4,122.36,122.38,122.37,122.38,122.36,122.39,122.37,122.41,122.39
2022-07-19,pm 12:16:50,122.33,122.33,122.34,122.35,122.3,122.36,122.23,122.35,122.34,122.32,122.33,122.31,122.35,122.35,122.32,122.35,122.37
2022-07-19,pm 12:17:00,122.42,122.44,122.42,122.42,122.44,122.44,122.34,122.47,122.41,122.42,122.41,122.42,122.43,122.42,122.43,122.44,122.45
2022-07-19,pm 12:17:10,122.39,122.39,122.39,122.39,122.4,122.39,122.03,122.4,122.38,122.38,122.38,122.38,122.38,122.4,122.38,122.41,122.4
2022-07-19,pm 12:17:20,122.41,122.43,122.41,122.41,122.43,122.42,122.43,122.45,122.4,122.41,122.4,122.4,122.41,122.42,122.42,122.43,122.43
2022-07-19,pm 12:17:30,122.37,122.38,122.37,122.38,122.38,122.38,122.64,122.4,122.36,122.36,122.37,122.36,122.37,122.38,122.37,122.39,122.38
2022-07-19,pm 12:17:40,122.36,122.37,122.36,122.36,122.38,122.37,122.05,122.38,122.35,122.36,122.36,122.36,122.36,122.38,122.36,122.38,122.38
2022-07-19,pm 12:17:50,122.38,122.41,122.37,122.38,122.45,122.37,122.33,122.41,122.35,122.39,122.37,122.4,122.37,122.39,122.37,122.42,122.38
2022-07-19,pm 12:18:00,122.41,122.42,122.4,122.41,122.44,122.41,122.3,122.43,122.4,122.41,122.4,122.41,122.4,122.43,122.4,122.43,122.42
2022-07-19,pm 12:18:10,122.39,122.4,122.39,122.4,122.41,122.4,122.2,122.41,122.39,122.39,122.39,122.39,122.39,122.41,122.39,122.42,122.4
2022-07-19,pm 12:18:20,122.42,122.43,122.42,122.43,122.45,122.43,122.05,122.44,122.41,122.42,122.41,122.42,122.42,122.43,122.42,122.44,122.44
2022-07-19,pm 12:18:30,122.39,122.39,122.39,122.41,122.35,122.42,122.18,122.41,122.4,122.38,122.39,122.36,122.41,122.41,122.39,122.4,122.42
2022-07-19,pm 12:18:40,122.39,122.4,122.39,122.4,122.4,122.41,122.23,122.42,122.39,122.39,137.5,122.39,122.4,122.4,122.39,122.41,122.41
2022-07-19,pm 12:18:50,122.41,122.43,122.41,122.42,122.43,122.42,122.05,122.45,122.4,122.41,122.4,122.41,122.43,122.42,122.42,122.43,122.43
2022-07-19,pm 12:19:00,122.47,122.5,122.47,122.48,122.49,122.5,122.21,122.52,122.47,122.47,122.46,122.47,122.49,122.48,122.49,122.49,122.51
2022-07-19,pm 12:19:10,122.46,122.46,122.46,122.47,122.41,122.49,122.27,122.48,122.47,122.45,122.45,122.43,122.48,122.47,122.46,122.47,122.49
2022-07-19,pm 12:19:20,122.48,122.5,122.47,122.49,122.49,122.49,121.95,122.51,122.48,122.48,122.47,122.47,122.49,122.49,122.48,122.49,122.5
2022-07-19,pm 12:19:30,122.39,122.4,122.39,122.41,122.4,122.39,122.3,122.4,122.39,122.39,122.4,122.39,122.39,122.42,122.39,122.42,122.4
2022-07-19,pm 12:19:40,122.39,122.4,122.38,122.39,122.42,122.39,122.28,122.41,122.38,122.39,122.39,122.39,122.39,122.4,122.38,122.41,122.39
2022-07-19,pm 12:19:50,122.4,122.42,122.39,122.41,122.42,122.41,122.32,122.44,122.39,122.4,122.39,122.4,122.41,122.41,122.4,122.42,122.42
2022-07-19,pm 12:20:00,122.39,122.4,122.39,122.4,122.4,122.41,122.16,122.42,122.39,122.39,122.39,122.39,122.41,122.4,122.39,122.42,122.41
2022-07-19,pm 12:20:10,122.41,122.43,122.41,122.42,122.42,122.43,122.19,122.45,122.41,122.41,122.4,122.4,122.42,122.42,122.42,122.42,122.44
2022-07-19,pm 12:20:20,122.42,122.43,122.42,122.43,122.41,122.45,122.28,122.45,121.6,122.41,122.41,122.41,122.44,122.43,122.43,122.43,122.45
2022-07-19,pm 12:20:30,122.39,122.4,122.39,122.41,122.39,122.4,121.92,122.42,122.22,122.39,122.39,122.38,122.4,122.41,122.39,122.41,122.41
2022-07-19,pm 12:20:40,122.38,122.39,122.38,122.39,122.37,122.39,122.25,122.41,122.38,122.37,122.37,122.37,122.39,122.39,122.38,122.39,122.4
2022-07-19,pm 12:20:50,122.42,122.44,122.41,122.43,122.43,122.44,121.86,122.46,122.42,122.42,122.41,122.41,122.44,122.43,122.42,122.43,122.44
2022-07-19,pm 12:21:00,122.42,122.44,122.42,122.43,122.43,122.44,122,122.46,122.42,122.42,122.42,122.41,122.43,122.44,122.42,122.44,122.44
2022-07-19,pm 12:21:10,122.44,122.46,122.43,122.44,122.5,122.44,122.13,122.47,122.42,122.45,122.43,122.46,122.43,122.45,122.44,122.48,122.44
2022-07-19,pm 12:21:20,122.48,122.5,121.38,122.49,122.49,122.51,122.49,122.51,121.04,122.48,122.48,122.48,122.5,122.5,122.48,122.51,122.51
2022-07-19,pm 12:21:30,122.5,122.51,122.5,122.52,122.48,122.53,122.39,122.53,122.51,122.49,122.5,122.48,122.52,122.51,122.5,122.51,122.53
2022-07-19,pm 12:21:40,122.48,122.49,122.47,122.49,122.49,122.5,122.13,122.5,122.48,122.48,122.47,122.47,122.49,122.49,122.47,122.49,122.5
2022-07-19,pm 12:21:50,122.47,122.48,122.46,122.47,122.52,122.46,122.02,122.49,122.45,122.47,122.46,122.48,122.46,122.49,122.47,122.5,122.47
