기기 이름:		HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140
기기 설명		온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거
일련 번호:		P86635	P86737	P86733	P86729	P86746	P86735	P86738	P86739	P86731	P86744	P86732	P86648	P86740	P86741	P86637	P86650	P86727
기기 ID:		MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel
																		
		채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1
Date	Time	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
2022-07-20	am 10:53:40	94.52	96	83.48	81.48	80.07	92.01	96.82	93.17	95.6	88.74	94.53	95.66	92.98	93.28	94.51	93.89	94.72
2022-07-20	am 10:53:50	94.5	96.11	84.01	82.36	81.7	92.17	96.29	93.05	95.7	88.97	94.3	95.74	93.16	93.36	94.63	93.92	94.73
2022-07-20	am 10:54:00	94.48	96.24	84.55	83.08	82.84	92.39	94.03	92.98	95.8	89.12	94.53	95.81	93.26	93.42	94.68	93.95	94.75
2022-07-20	am 10:54:10	94.44	96.31	84.89	83.53	83.76	92.62	95.45	93.2	95.86	89.26	94.52	95.86	93.33	93.45	94.7	94.03	94.75
2022-07-20	am 10:54:20	94.43	96.38	85.18	83.85	84.42	92.82	94.53	93.42	95.94	89.44	94.51	95.95	93.4	93.48	94.76	94.07	94.78
2022-07-20	am 10:54:30	94.45	96.53	85.37	83.86	85	93.01	95.39	93.58	96.05	89.64	94.55	96.09	93.48	93.55	94.83	94.13	94.82
2022-07-20	am 10:54:40	94.48	96.69	85.59	84.19	85.47	93.22	95.55	93.72	96.18	89.81	94.6	96.26	93.63	93.65	94.93	94.2	94.88
2022-07-20	am 10:54:50	94.53	96.85	85.74	84.6	85.82	93.45	94.72	93.85	96.33	90.04	94.67	96.44	93.76	93.76	95.05	94.27	94.93
2022-07-20	am 10:55:00	94.59	97.01	85.77	84.99	86.24	93.66	97.34	93.99	96.47	90.44	94.73	96.61	93.86	93.89	95.2	94.35	95
2022-07-20	am 10:55:10	94.69	97.13	85.83	85.4	86.42	93.79	94.77	94.2	96.61	90.78	94.79	96.72	94.07	93.95	95.4	94.4	95.1
2022-07-20	am 10:55:20	93.98	96.82	84.89	85.4	84.59	93.72	96.07	94.02	96.51	89.53	93.99	95.5	93.89	92.99	95.09	93.2	94.98
2022-07-20	am 10:55:30	93.79	95.55	84.17	83.88	85.73	92.39	94.06	92.89	95.08	89.78	93.06	96.16	92.16	92.69	93.84	93.72	93.87
2022-07-20	am 10:55:40	95.68	97.85	85.86	85.71	88.22	94.56	97.62	95.31	96.94	91.61	94.45	98.33	95.02	94.1	95.94	96.84	95.6
2022-07-20	am 10:55:50	97.92	100.25	89.98	88.36	93.01	97.48	100.17	98.36	99.82	93.94	96.74	100.06	98.2	95.83	97.64	100.19	98.07
2022-07-20	am 10:56:00	99.79	102.14	94.66	92.84	97.2	99.86	104.02	100.53	102.11	96.53	99.04	101.74	100.34	97.82	99.44	102.62	100.23
2022-07-20	am 10:56:10	101.47	103.5	98.36	96.85	100.32	101.82	104.64	102.26	103.67	99.27	101.23	103.01	102.17	99.77	100.74	104.3	101.79
2022-07-20	am 10:56:20	102.72	104.45	99.02	99.6	97.27	103.29	105.23	103.87	104.69	100.74	102.77	103.14	103.57	101.33	101.92	104.71	102.82
2022-07-20	am 10:56:30	101.21	103.31	96.36	96.78	95.36	102.93	103.77	102.97	104.09	99.19	101.78	101.55	102.6	100.38	101.37	102.73	102.38
2022-07-20	am 10:56:40	99.19	101.34	93.97	92.81	93.16	100.76	102.06	100.81	102.11	96.91	99.93	99.58	100.09	98.61	99.6	100.39	100.6
2022-07-20	am 10:56:50	97.4	99.21	91.53	89.96	91.02	98.22	99	98.43	100.04	94.54	98.19	97.79	97.75	96.84	97.89	98.3	98.71
2022-07-20	am 10:57:00	96.2	97.51	89.69	88.37	89.67	96.29	98.2	96.77	98.08	92.73	96.77	96.55	95.61	95.53	96.53	96.81	97.48
2022-07-20	am 10:57:10	95.48	96.72	88.56	87.59	88.87	95.17	97.32	95.73	96.85	91.59	95.86	95.95	94.24	94.62	95.72	95.89	96.68
2022-07-20	am 10:57:20	95.14	96.37	87.85	87.2	88.48	94.68	95.49	95.24	96.31	90.96	95.37	95.73	93.51	94.1	95.22	95.41	96.14
2022-07-20	am 10:57:30	95.04	96.4	87.48	87.08	88.25	94.54	95.43	95.11	96.17	90.62	95.16	95.85	93.29	93.87	95.07	95.18	95.91
2022-07-20	am 10:57:40	95.06	96.67	87.35	87.04	88.1	94.64	95.96	95.14	96.31	90.49	95.1	96.09	93.3	93.82	95.15	95.15	95.85
2022-07-20	am 10:57:50	95.12	96.95	87.41	87.22	88.11	94.83	96.49	95.26	96.52	90.65	95.13	96.35	93.51	93.85	95.31	95.15	95.86
2022-07-20	am 10:58:00	95.25	97.19	87.47	87.33	88.21	95.01	95.36	95.37	96.75	90.93	95.22	96.62	93.71	94.04	95.53	95.22	95.94
2022-07-20	am 10:58:10	95.38	97.49	87.53	87.42	88.17	95.22	97.09	95.53	96.99	91.14	95.31	96.88	93.95	94.18	95.74	95.3	96.04
2022-07-20	am 10:58:20	95.47	97.77	87.63	87.68	88.3	95.46	96.77	95.64	97.23	91.48	95.4	97.07	94.21	94.33	95.91	95.42	96.13
2022-07-20	am 10:58:30	95.55	97.98	87.76	87.89	88.3	95.62	97.44	95.74	97.37	91.68	95.46	97.22	94.4	94.46	96.05	95.48	96.19
2022-07-20	am 10:58:40	95.62	98.12	87.92	88.09	88.36	95.73	97.91	95.79	97.48	91.87	95.56	97.34	94.53	94.57	96.17	95.6	96.26
2022-07-20	am 10:58:50	95.67	98.25	88.02	88.29	88.37	95.85	98.65	95.9	97.58	92.02	95.64	97.44	94.66	94.67	96.26	95.65	96.33
2022-07-20	am 10:59:00	95.74	98.39	88.15	88.45	88.41	95.93	97.7	95.97	97.67	92.13	95.73	97.6	94.77	94.79	96.35	95.66	96.4
2022-07-20	am 10:59:10	95.83	98.59	88.36	88.66	88.62	96.07	98.08	96.03	97.83	92.34	95.82	97.79	94.92	94.9	96.51	95.79	96.51
2022-07-20	am 10:59:20	95.94	98.76	88.61	88.96	88.84	96.24	98.93	96.19	97.99	92.46	95.92	97.97	95.1	94.96	96.61	95.91	96.63
2022-07-20	am 10:59:30	96	98.92	88.77	89.23	89.05	96.39	97.19	96.29	98.12	92.65	95.98	98.08	95.18	95.03	96.75	95.98	96.74
2022-07-20	am 10:59:40	96.08	99	88.96	89.35	89.17	96.49	98.28	96.38	98.21	92.8	96.06	98.2	95.27	95.17	96.88	96.03	96.81
2022-07-20	am 10:59:50	96.18	99.09	89.18	89.56	89.35	96.6	99.7	96.49	98.29	92.98	96.16	98.28	95.39	95.26	96.94	96.15	96.88
2022-07-20	am 11:00:00	96.25	99.23	89.42	89.9	89.36	96.74	98.27	96.57	98.38	93.06	102.06	98.24	95.55	95.28	97.04	96.14	96.94
2022-07-20	am 11:00:10	95.16	98.5	88.28	89.51	87.27	96.38	98.16	96.04	98.01	91.35	95.2	96.52	94.93	94	96.34	94.69	96.53
2022-07-20	am 11:00:20	95.47	97.59	88.31	88.32	89.04	94.98	97.21	95.28	96.77	91.99	95.42	97.96	93.53	94.13	95.68	95.68	95.53
2022-07-20	am 11:00:30	97.67	100.34	90.06	90.22	91.47	97.74	99.61	98.1	99.03	93.85	97.26	99.62	96.58	95.87	98.02	98.96	97.93
2022-07-20	am 11:00:40	100.21	102.88	92.56	92.29	94.69	100.55	101.6	101.29	101.42	95.62	99.61	101.64	99.65	97.71	100.04	102.13	100.5
2022-07-20	am 11:00:50	102.4	104.51	96.31	94.91	98.51	102.94	105.38	103.75	103.66	97.73	101.99	103.41	101.69	99.72	101.82	104.29	102.05
2022-07-20	am 11:01:00	103.92	105.66	99.49	98.23	101.18	104.58	106.25	105.04	105.09	100.22	103.64	104.44	103.33	101.46	102.86	105.68	103.3
2022-07-20	am 11:01:10	105.15	106.3	102.01	100.93	103.4	105.62	107.6	105.94	105.92	102.53	104.92	105.09	104.46	103.1	103.69	106.64	104.11
2022-07-20	am 11:01:20	106.25	106.8	104.1	103.19	105.28	106.53	106.99	106.42	106.29	104.54	106.05	105.89	105.65	104.52	104.58	107.54	104.92
2022-07-20	am 11:01:30	107.41	107.43	105.9	105.1	106.94	107.36	107.81	107.17	107.06	106.28	107.16	106.86	106.82	106.02	105.95	108.47	105.89
2022-07-20	am 11:01:40	108.45	108.3	107.52	106.78	108.47	108.29	107.16	108.26	107.91	107.85	108.29	108.13	107.94	107.47	107.37	109.34	107.19
2022-07-20	am 11:01:50	109.55	109.32	109	108.32	109.89	109.3	111.11	109.3	108.92	109.31	109.39	109.51	108.97	108.91	108.73	110.28	108.62
2022-07-20	am 11:02:00	110.7	110.44	110.36	109.74	111.15	110.46	112.5	110.39	110.09	110.62	110.55	110.79	109.98	110.25	110.08	111.24	109.99
2022-07-20	am 11:02:10	111.78	111.58	111.57	111	112.29	111.55	116.38	111.46	111.23	111.81	111.62	111.97	111.11	111.46	111.31	112.25	111.24
2022-07-20	am 11:02:20	112.84	112.66	112.69	112.16	113.37	112.59	113.55	112.54	112.29	112.91	112.69	113.06	112.22	112.58	112.46	113.22	112.37
2022-07-20	am 11:02:30	113.86	113.71	113.75	113.24	114.38	113.59	116.68	113.6	113.34	113.95	113.71	114.09	113.3	113.63	113.53	114.15	113.43
2022-07-20	am 11:02:40	114.84	114.69	114.74	114.26	115.33	114.53	117.95	114.59	114.34	114.93	114.7	115.06	114.31	114.62	114.52	115.06	114.44
2022-07-20	am 11:02:50	115.76	115.62	115.66	115.22	116.23	115.45	113.15	115.53	115.27	115.84	115.58	115.96	115.27	115.55	115.44	115.93	115.38
