기기 이름:		HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140
기기 설명		온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거
일련 번호:		P86635	P86737	P86733	P86729	P86746	P86735	P86738	P86739	P86731	P86744	P86732	P86648
기기 ID:		MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel
													
		채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1
Date	Time	1	2	3	4	5	6	7	8	9	10	11	12
2022-07-19	pm 2:21:30	122.47	122.47	122.47	122.49	122.49	122.48	121.25	122.48	122.49	122.47	122.47	122.47
2022-07-19	pm 2:21:40	122.45	122.45	122.45	122.47	122.47	122.47	122.25	122.46	122.47	122.45	122.45	122.44
2022-07-19	pm 2:21:50	122.49	122.52	122.49	122.52	122.49	122.52	122	122.54	122.51	122.49	122.49	122.48
2022-07-19	pm 2:22:00	122.49	122.51	122.49	122.51	122.52	122.5	121.83	122.53	122.5	122.49	122.49	122.49
2022-07-19	pm 2:22:10	122.49	122.52	122.49	122.52	122.47	122.52	122.86	122.53	122.52	122.49	122.49	122.47
2022-07-19	pm 2:22:20	122.49	122.52	122.5	122.52	122.48	122.52	122.34	122.54	122.51	122.49	122.49	122.48
2022-07-19	pm 2:22:30	122.49	122.51	122.49	122.52	122.49	122.51	121.12	122.53	122.51	122.48	122.49	122.48
2022-07-19	pm 2:22:40	122.5	122.49	122.49	122.49	122.54	122.47	122.28	122.49	122.47	122.5	122.49	122.5
2022-07-19	pm 2:22:50	122.48	122.5	122.48	122.51	122.49	122.51	122.73	122.52	122.51	122.48	122.48	122.47
2022-07-19	pm 2:23:00	122.47	122.49	122.47	122.5	122.47	122.5	122.69	122.5	122.5	122.47	122.47	122.46
2022-07-19	pm 2:23:10	122.49	122.49	122.49	122.51	122.52	122.51	122.26	122.51	122.5	122.49	122.49	122.49
