기기 이름:		HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140				
기기 설명		온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거				
일련 번호:		P86635	P86737	P86733	P86729	P86746	P86735	P86738	P86739				
기기 ID:		MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel				
													
		채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1				
Date	Time	1	2	3	4	5	6	7	8				
2022-07-19	pm 3:11:00	122.46	122.5	122.46	122.47	122.44	122.49	122.38	122.5				
2022-07-19	pm 3:11:10	122.47	122.5	122.47	122.48	122.46	122.48	122.44	122.51				
2022-07-19	pm 3:11:20	122.44	122.43	122.44	122.43	122.46	122.42	122.45	122.43				
2022-07-19	pm 3:11:30	122.41	122.41	122.41	122.42	122.44	122.42	122.5	122.42				
2022-07-19	pm 3:11:40	122.46	122.45	122.45	122.43	122.49	122.44	122.55	122.45				
2022-07-19	pm 3:11:50	122.48	122.5	122.48	122.48	122.47	122.49	122.58	122.51				
2022-07-19	pm 3:12:00	122.48	122.5	122.44	122.49	122.49	122.49	122.59	122.51				
2022-07-19	pm 3:12:10	122.47	122.49	122.47	122.49	122.47	122.5	122.58	122.5				
2022-07-19	pm 3:12:20	122.51	122.54	122.51	122.52	122.5	122.52	122.62	122.55				
2022-07-19	pm 3:12:30	122.49	122.52	122.49	122.51	122.48	122.5	122.61	122.53				
2022-07-19	pm 3:12:40	122.56	122.56	122.55	122.54	122.58	122.55	122.67	122.57				
2022-07-19	pm 3:12:50	122.6	122.6	122.59	122.58	122.63	122.57	122.71	122.6				
2022-07-19	pm 3:13:00	122.57	122.58	122.57	122.58	122.57	122.58	122.71	122.59				
2022-07-19	pm 3:13:10	122.59	122.58	122.58	122.59	122.63	122.59	122.71	122.59				
2022-07-19	pm 3:13:20	122.6	122.6	122.59	122.6	122.6	122.61	122.72	122.61				
2022-07-19	pm 3:13:30	122.66	122.66	122.65	122.65	122.7	122.66	122.7	122.67				
2022-07-19	pm 3:13:40	122.67	122.68	122.67	122.67	122.69	122.66	122.7	122.69				
2022-07-19	pm 3:13:50	122.7	122.71	122.69	122.7	122.69	122.69	122.67	122.72				
2022-07-19	pm 3:14:00	122.68	122.71	122.68	122.71	122.67	122.72	122.68	122.73				
2022-07-19	pm 3:14:10	122.68	122.71	122.69	122.71	122.66	122.7	122.66	122.72				
2022-07-19	pm 3:14:20	122.68	122.68	122.68	122.7	122.68	122.7	122.68	122.7				
2022-07-19	pm 3:14:30	122.68	122.71	122.68	122.71	122.65	122.72	122.63	122.72				
2022-07-19	pm 3:14:40	122.68	122.68	122.7	122.68	122.7	122.67	122.6	122.69				
2022-07-19	pm 3:14:50	122.68	122.71	122.68	122.7	122.66	122.7	122.57	122.72				
2022-07-19	pm 3:15:00	122.68	122.7	122.68	122.7	122.68	122.7	122.6	122.71				
2022-07-19	pm 3:15:10	122.71	122.72	122.71	122.71	122.72	122.71	122.61	122.72				
2022-07-19	pm 3:15:20	122.73	122.76	122.74	122.75	122.72	122.76	122.64	122.78				
2022-07-19	pm 3:15:30	122.74	122.77	122.74	122.76	122.72	122.75	122.66	122.78				
2022-07-19	pm 3:15:40	122.75	122.78	122.75	122.77	122.74	122.77	122.68	122.79				
2022-07-19	pm 3:15:50	122.74	122.76	122.74	122.77	122.73	122.77	122.65	122.78				
2022-07-19	pm 3:16:00	122.75	122.75	122.75	122.75	122.75	122.74	122.62	122.76				
2022-07-19	pm 3:16:10	122.77	122.79	122.77	122.78	122.77	122.78	122.55	122.79				
2022-07-19	pm 3:16:20	122.76	122.76	122.76	122.78	122.77	122.79	122.55	122.79				
2022-07-19	pm 3:16:30	122.8	122.81	122.8	122.81	122.82	122.81	122.56	122.82				
2022-07-19	pm 3:16:40	122.83	122.84	122.82	122.84	122.84	122.84	122.55	122.86				
2022-07-19	pm 3:16:50	122.82	122.84	122.82	122.84	122.81	122.83	122.56	122.85				
2022-07-19	pm 3:17:00	122.82	122.84	122.82	122.84	122.82	122.84	122.54	122.85				
2022-07-19	pm 3:17:10	122.87	122.87	122.86	122.87	122.88	122.87	122.53	122.89				
2022-07-19	pm 3:17:20	122.85	122.87	122.85	122.87	122.85	122.88	122.54	122.88				
2022-07-19	pm 3:17:30	122.84	122.83	122.84	122.85	122.86	122.85	122.57	122.85				
2022-07-19	pm 3:17:40	122.85	122.87	122.85	122.87	122.83	122.87	122.58	122.89				
2022-07-19	pm 3:17:50	122.87	122.89	122.87	122.89	122.85	122.89	122.64	122.91				
