"공정 
 
  배치번호"	공정일자	투입배지 Lot No.				제조사 Lot No.(소형발효점도)				YEO LOD값	YEO 점도(Cp)	YEO 점도(Cp)	특이사항	"특이사항
 (내부 확인용)"	본배양					균체제거						한외여과		흡착			벌크 회수					침전	QC Release (LIMS)					QC IPC(LIMS)					"연구소
 (자체분석)"
															"P.68
HSB17017		Y160527013(종)	Y170124011(본)			"051500340
 (10188cP)"		51400640							1202								0.055		4426	160	3599	2.9	6.5	3311	7.1			3357	3,046				100								
HSB17018		Y160527013(종)	Y170124011(본)			"051500340
 (10188cP)"		51400640							1205								0.047		4642	160	3636	2	6.4	3368	8.7			3371	3,042				100								
HSB17019		Y160527013(종)	Y170124011(본)			"051500340
 (10188cP)"		51400640							1206								0.064		4636	160	3714	2.1	6.5	3389	8.9			3398	3,002				100								
HSB17020		Y160527013(종)	Y170124011(본)			"051500340
 (10188cP)"		51400640							1204								0.049		4550	160	3644	2.3	6.6	3589	7.2			3370	3,042				100								
HSB17021		Y160527013(종)	Y170124011(본)			"051500340
 (10188cP)"		51400640							1209								0.053		4380	160	3716	2.5	6.6	3435	6.8			3393	3,092				100								
HSB17022		Y160527013(종)	Y170124011(본)			"051500340
 (10188cP)"		51400640							1214								0.057		4666	160	3700	2.7	6.7	3379	6.4			3350	3,029				103								
HSB17023		Y160527013(종)	Y170124011(본1/3)	Y170406003(본2/3)		"051500340
 (10188cP)"		51400640							1213								0.053		4281	160	3720	2.8	6.7	3282	5			3227	2,929				103								
HSB17024		Y160527013(종)	Y170406003(본)			"051500340
 (10188cP)"		"051500550
 (13178cP)"							1197								0.048		4431	160	3613	2.1	6.7	3375	5.7			3263	2,950				103								
HSB17025		Y160527013(종)	Y170406003(본)			"051500340
 (10188cP)"		"051500550
 (13178cP)"							1210								0.047		4597	160	3630	1.8	6.7	3474	3.3			3228	2,993				100								
HSB17026		Y160527013(종)	Y170406003(본)			"051500340
 (10188cP)"		"051500550
 (13178cP)"							1193								0.051		4638	160	3587	2.3	6.6	3341	6.3			3275	2,932				103								
HSB17027		Y160527013(종)	Y170406003(본)			"051500340
 (10188cP)"		"051500550
 (13178cP)"							1226								0.054		4554	160	3634	2.5	6.6	3379	5.2			3295	3,012				103								
HSB17028		Y160527013(종)	Y170406003(본)			"051500340
 (10188cP)"		"051500550
 (13178cP)"							1202								0.037		4368	160	3478	1.7	6.5	3276	4.6			3167	2,881				97								
HSB17029		Y170620003				"AC17A00090
 (11377cP)"									1206								0.069		4789	160	4001	1.9	6.6	3745	6.7			3581	3,190				109								
HSB17030		Y160527013(종)	Y170406004(본)			"051500340
 (10188cP)"		"051600170
 (13200cP)"							1175								0.053		4569	160	3744	2.4	6.6	3424	5.3			3308	3,010				103								
HSB17031		Y160527013(종)	Y170602004(본)			"051500340
 (10188cP)"		"AC16A00090
 (8842cP)"							1250								0.048		4636	160	3818	2.4	6.8	3527	7.6			3403	3,067				103								
HSB17032		Y170620003				"AC17A00090
 (11377cP)"									1204								0.044		4590	160	3571	2.6	6.7	3324	8			3297	2,909				94								
HSB17033		Y170620003(종)	Y170602003(본)			"AC17A00090
 (11377cP)"		"051500550
 (13178cP)"							1230								0.04		4440	180	3392	1.2	6.6	3382	5			3297	3,010				100								
HSB17034		Y170620003(종)	Y170602003(본)			"AC17A00090
 (11377cP)"		"051500550
 (13178cP)"							1168								0.045		4258	160	3575	0.8	6.5	3234	7			3187	2,845				103								
HSB17035		Y170620003(종)	Y170602003(본)			"AC17A00090
 (11377cP)"		"051500550
 (13178cP)"							1190								0.054		4558	160	3606	1.9	6.3	3506	6.1			3356	3,028				100								
HSB17036		Y170620003(종)	Y170602003(본)			"AC17A00090
 (11377cP)"		"051500550
 (13178cP)"							1182								0.065		4419	160	3637	2.9	6.5	3463	5.6			3176	2,878				100								
HSB17037		Y170620003(종)	Y170602003(본)			"AC17A00090
 (11377cP)"		"051500550
 (13178cP)"							1204								0.059		4710	160	3619	2	6.8	3514	6.8			3340	2,968				103								
HSB17038		Y170620003(종)	Y170602003(본)			"AC17A00090
 (11377cP)"		"051500550
 (13178cP)"							1200								0.074		4461	160	3777	2	6.6	3412	6.6			3430	3,051				106								
HSB17039		Y170620003(종)	Y170602003(본)			"AC17A00090
 (11377cP)"		"051500550
 (13178cP)"							1180								0.061		4564	160	3764	1.7	6.6	3308	4.8			3418	3,128				100								
HSB17040		Y170620003				"AC17A00090
 (11377cP)"									1187								0.08		5033	160	4381	2.3	6.5	3623	9.2			3762	3,311				112								
HSB17041		Y170620003				"AC17A00090
 (11377cP)"									1175								0.077		5047	160	4317	0.2	6.5	3771	9.2			3836	3,360				106								
HSB17042		Y170620003				"AC17A00090
 (11377cP)"									1210								0.099		4914	160	4076	2	6.8	3760	9.2			3778	3,344				112								
HSB17043		Y170620003				"AC17A00090
 (11377cP)"									1184								0.103		4757	160	3517	2.2	6.6	3719	5.6			3642	3,297				112								
HSB17044		Y170620003				"AC17A00090
 (11377cP)"									1181								0.09		6022	100	4241	2.4	6.9	3820	8.5			3794	3,320				112								
HSB17045		Y170620003				"AC17A00090
 (11377cP)"									1192								0.092		6788	100	4446	1.8	6.6	3802	11.5			3908	3,337				115								
HSB17046		Y170620003				"AC17A00090
 (11377cP)"									1165								0.097		5232	100	4613	2.4	6.9	4014	10.2			3941	3,377				106								
HSB17047		Y170620003				"AC17A00090
 (11377cP)"									1182								0.091		5434	100	4483	2.9	7	3992	9.7			3870	3,352				115								
HSB18001		Y170602004				"AC16A00090
 (8842cP)"									1165								0.048		4484	215	3649	1.1	6.5	3479	7.3			3198	2,890		90.376		103			0.15	0.02	0.02	72	0	3093
HSB18002		Y171110064				"AC17A00120
 (10505cP)"									1212								0.089		4658	100	3453	1.7	6.2	3590	5.5	1858	1532	3410	3,109		91.164		112			0.15	0.02	0.02	15	0	3453
HSB18003		Y171110064				"AC17A00120
 (10505cP)"									1219								0.085		4480	151	3799	2.3	6.2	3550	7.1	2064	1242	3326	2,964		89.113		112			0.15	0.02	0.03	52	0	
HSB18004		Y171110064				"AC17A00120
 (10505cP)"									1225								0.095		4299	115	3743	2.5	6.1	3458	7.1	1829	1462	3311	2,956		89.291		118			0.15	0.02	0.03	38	0	3486
HSB18005		Y171110064				"AC17A00120
 (10505cP)"									1200								0.096		4383	106	3768	1.5	6.1	3541	7.3	1545	1802	3367	3,015		89.555		118			0.15	0.02	0.02	17	0	3434
HSB18006		Y171110064				"AC17A00120
 (10505cP)"									1198								0.077		4478	110	3775	2.8	6.2	3502	11.9	1818	1525	3363	3,008		89.446		115			0.15	0.02	0.02	16	0	
HSB18007		Y170620003				"AC17A00090
 (11377cP)"									1157								0.07		5020	160	4179	1.2	6.2	3838	7.4	2512	1196	3728	3,373		90.471		103			0.15	0.02	0.02	27	0	3184
HSB18008		Y170620003				"AC17A00090
 (11377cP)"									1176								0.086		4876	130	4133	2.1	6.9	3820	6.6	2219	1495	3734	3,414		91.443		106			0.15	0.02	0.02	63	0	3035
HSB18009		Y170620003(종)	Y171110064(본)			"AC17A00090
 (11377cP)"		"AC17A00120
 (10505cP)"							1170								0.044		4888	160	3774	0.6	6.9	3490	7.7	2269	1096	3385	3,063		90.504		97			0.15	0.02	0.02	13	0	2989
HSB18010		Y170620003(종)	Y171110064(본)			"AC17A00090
 (11377cP)"		"AC17A00120
 (10505cP)"							1156								0.047		4626	160	3892	1.9	7	3543	6	2184	1257	3461	3,169		91.572		100			0.15	0.02	0.02	12	0	3012
HSB18011		Y170620003				"AC17A00090
 (11377cP)"									1160								0.05		4307	168	4135	2.6	6.9	3784	7	2000	1713	3733	3,349		89.718		100			0.15	0.02	0.02	37	0	3120
HSB18012		Y171110064(종)	Y171110064(본2/3)	Y170620003(본1/3)		"AC17A00120
 (10505cP)"		"AC17A00090
 (11377cP)"							1177								0.093		4341	134	4019	2.8	6.8	3558	7.2	1768	1713	3501	3,266		93.289		106			0.15	0.02	0.02	22	0	
HSB18013		Y171110064(종)	Y171110064(본2/3)	Y170620003(본1/3)		"AC17A00120
 (10505cP)"		"AC17A00090
 (11377cP)"							1201								0.079		4051	120	3883	2.5	7	3562	5.2	2120	1274	3414	3,325		92.378		100			0.15	0.02	0.02	23	0	
HSB18014		Y171110064(종)	Y171110064(본2/3)	Y170620003(본1/3)		"AC17A00120
 (10505cP)"		"AC17A00090
 (11377cP)"							1182								0.059		4260	147	3992	2.4	7	3554	5.4	1518	1931	3469	3,166		91.272		106			0.15	0.02	0.02	10	0	
HSB18015		Y170602003(종)	Y170602003(본1/2)	Y170602004(본1/2)		"051500550
 (13178cP)"		"AC16A00090
 (8842cP)"							1180								0.051		3916	156	3628	2.8	7.1	3391	7.6	1824	1453	3297	2,986		90.575		100			0.15	0.02	0.02	15	0	2935
HSB18016		Y170602003(종)	Y170602003(본1/2)	Y171110064(본1/2)		"051500550
 (13178cP)"		"AC17A00120
 (10505cP)"							1160								0.058		4148	150	3439	2.6	7.1	3383	6.4			3271	2,961		90.531		103			0.15	0.02	0.02	46	0	
HSB18017		Y171110064(종)	Y171110064(본2/3)	Y170602003(본1/3)		"051500550
 (13178cP)"		"AC17A00120
 (10505cP)"							1166								0.09		3833	110	3770	1.5	7	3560	9			3537	3,153		89.129		109			0.15	0.02	0.02	49	0	3254
HSB18018		Y171110064(종)	Y171110064(본2/3)	Y170602003(본1/3)		"051500550
 (13178cP)"		"AC17A00120
 (10505cP)"							1151								0.066		4136	145	3892	2.8	7	3537	7.1			3536	3,198		90.441		103			0.15	0.02	0.02	71	0	
HSB18019		Y170602003(종)	Y170602003(본2/3)	Y170620003(본1/3)		"051500550
 (13178cP)"									1185								0.05		4172	165	3916	1.2	7	3521	7.8			3362	2,992		88.995		103			0.15	0.02	0.02	39	0	
HSB18020		Y171110064(종)	Y171110064(본2/3)	Y170620003(본1/3)		"AC17A00090
 (11377cP)"		"AC17A00120
 (10505cP)"							1179								0.057		3974	160	3916	1.1	7.1	3511	7.3	1721	1853	3594	3,199		89.002		106			0.15	0.02	0.02	24	0	
HSB18021		Y171110064(종)	Y171110064(본2/3)	Y170620003(본1/3)		"AC17A00090
 (11377cP)"		"AC17A00120
 (10505cP)"							1174								0.144		4080	100	4124	1.5	6.1	3658	7.5	1951	1656	3627	3,160		87.124		118			0.15	0.02	0.02	25	0	3488
